"year","month","nafo","gear.cat","prov","catch","country","source"
2022,6,"4T","LX","QC",0.15,"Canada","S52"
2022,7,"4S","PS","QC",2.268,"Canada","S52"
2022,7,"4T","LX","NB",0.396,"Canada","S52"
2022,7,"4T","LX","QC",0.977,"Canada","S52"
2022,7,"4W","LX","NS",0.691,"Canada","S52"
2022,7,"4X","LX","NS",0.048,"Canada","S52"
2022,8,"3K","GN","NL",0.9,"Canada","S52"
2022,8,"3K","PS","NL",0.3,"Canada","S52"
2022,8,"3L","GN","NL",0.3,"Canada","S52"
2022,8,"4R","GN","NL",0.9,"Canada","S52"
2022,8,"4R","LX","NL",0.6,"Canada","S52"
2022,8,"4T","LX","NB",0.014,"Canada","S52"
2022,8,"4T","LX","QC",1.5,"Canada","S52"
2022,8,"4W","LX","NS",0.661,"Canada","S52"
2022,8,"4X","LX","NS",0.308,"Canada","S52"
2022,9,"3K","GN","NL",1.2,"Canada","S52"
2022,9,"3K","LX","NL",0.6,"Canada","S52"
2022,9,"3L","GN","NL",0.3,"Canada","S52"
2022,9,"4R","GN","NL",0.6,"Canada","S52"
2022,9,"4R","LX","NL",0.9,"Canada","S52"
2022,9,"4T","LX","QC",0.918,"Canada","S52"
2022,9,"4W","LX","NS",0.3,"Canada","S52"
2022,9,"4X","LX","NS",0.387,"Canada","S52"
2022,10,"3K","GN","NL",1.2,"Canada","S52"
2022,10,"3L","GN","NL",0.3,"Canada","S52"
2022,10,"4R","GN","NL",0.9,"Canada","S52"
2022,10,"4W","LX","NS",0.3,"Canada","S52"
2022,10,"4X","LX","NS",0.145,"Canada","S52"
2022,11,"3K","GN","NL",0.6,"Canada","S52"
2022,11,"4W","LX","NS",0.3,"Canada","S52"
2022,11,"4X","LX","NS",0.362,"Canada","S52"
2023,6,"4T","GND","PEI",0.6,"Canada","S52"
2023,6,"4T","LX","NB",0.3,"Canada","S52"
2023,6,"4T","LX","PEI",0.662,"Canada","S52"
2023,6,"4W","GND","NS",0.082,"Canada","S52"
2023,6,"4W","LX","NS",0.272,"Canada","S52"
2023,6,"4X","LX","NS",0.764,"Canada","S52"
2023,7,"4R","LX","NL",1.179,"Canada","S52"
2023,7,"4T","LX","NB",0.9,"Canada","S52"
2023,7,"4T","LX","PEI",1.8,"Canada","S52"
2023,7,"4T","LX","QC",0.9,"Canada","S52"
2023,7,"4W","LX","NS",0.735,"Canada","S52"
2023,7,"4X","LX","NS",1.462,"Canada","S52"
2023,8,"4R","LX","NL",2.235,"Canada","S52"
2023,8,"4T","LX","NB",0.493,"Canada","S52"
2023,8,"4T","LX","PEI",0.6,"Canada","S52"
2023,8,"4T","LX","QC",0.6,"Canada","S52"
2023,8,"4W","LX","NS",0.435,"Canada","S52"
2023,8,"4X","LX","NS",0.267,"Canada","S52"
2023,9,"3K","GND","NL",1.778,"Canada","S52"
2023,9,"4R","LX","NL",0.613,"Canada","S52"
2023,9,"4T","LX","NB",0.036,"Canada","S52"
2023,9,"4T","LX","PEI",0.3,"Canada","S52"
2023,9,"4T","LX","QC",0.35,"Canada","S52"
2023,9,"4W","LX","NS",0.599,"Canada","S52"
2023,9,"4X","LX","NS",0.285,"Canada","S52"
2023,10,"3K","GND","NL",1.164,"Canada","S52"
2023,10,"4T","LX","QC",0.3,"Canada","S52"
2023,10,"4W","LX","NS",0.599,"Canada","S52"
2023,10,"4X","LX","NS",0.291,"Canada","S52"
2023,11,"3L","GND","NL",0.6,"Canada","S52"
2023,11,"4W","LX","NS",0.39,"Canada","S52"
2023,11,"4X","LX","NS",0.562,"Canada","S52"
2023,12,"3L","GND","NL",0.6,"Canada","S52"
2024,5,"4W","GN","NS",0.34,"Canada","S52"
2024,6,"4R","GND","NL",0.6,"Canada","S52"
2024,6,"4T","GND","PEI",0.416,"Canada","S52"
2024,6,"4T","GNS","QC",0.13,"Canada","S52"
2024,6,"4T","LX","PEI",0.466,"Canada","S52"
2024,6,"4T","LX","QC",0.38,"Canada","S52"
2024,6,"4X","LX","NS",0.827,"Canada","S52"
2024,7,"3K","GND","NL",0.073,"Canada","S52"
2024,7,"4R","GND","NL",0.4,"Canada","S52"
2024,7,"4T","LX","NB",0.227,"Canada","S52"
2024,7,"4T","LX","PEI",1.695,"Canada","S52"
2024,7,"4T","LX","QC",0.713,"Canada","S52"
2024,7,"4W","LX","NS",0.872,"Canada","S52"
2024,7,"4X","LX","NS",0.99,"Canada","S52"
2024,8,"3K","GND","NL",0.073,"Canada","S52"
2024,8,"3L","GND","NL",0.3,"Canada","S52"
2024,8,"4R","GND","NL",0.136,"Canada","S52"
2024,8,"4R","LX","NL",0.622,"Canada","S52"
2024,8,"4T","LX","NB",0.102,"Canada","S52"
2024,8,"4T","LX","PEI",0.3,"Canada","S52"
2024,8,"4T","LX","QC",0.185,"Canada","S52"
2024,8,"4W","LX","NS",0.436,"Canada","S52"
2024,8,"4X","LX","NS",0.293,"Canada","S52"
2024,8,"4X","PS","NS",0.3,"Canada","S52"
2024,9,"3K","GN","NL",0.082,"Canada","S52"
2024,9,"3L","GND","NL",0.3,"Canada","S52"
2024,9,"4R","LX","NL",0.636,"Canada","S52"
2024,9,"4T","LX","NB",0.122,"Canada","S52"
2024,9,"4T","LX","PEI",0.272,"Canada","S52"
2024,9,"4W","LX","NS",0.6,"Canada","S52"
2024,9,"4X","LX","NS",0.3,"Canada","S52"
2024,10,"4R","LX","NL",0.443,"Canada","S52"
2024,10,"4T","LX","PEI",0.25,"Canada","S52"
2024,10,"4T","LX","QC",0.3,"Canada","S52"
2024,10,"4W","LX","NS",0.413,"Canada","S52"
2024,10,"4X","LX","NS",0.06,"Canada","S52"
2024,11,"4R","LX","NL",0.416,"Canada","S52"
