"year","age","caan","caaw","waa","waa.sd","laa","laa.sd","zero","waa.interpol"
1968,1,NA,NA,NA,NA,NA,NA,NA,0.17707922177993
1968,2,NA,NA,NA,NA,NA,NA,NA,0.294057302351544
1968,3,NA,NA,NA,NA,NA,NA,NA,0.357661542360811
1968,4,NA,NA,NA,NA,NA,NA,NA,0.458128094876924
1968,5,NA,NA,NA,NA,NA,NA,NA,0.498747629456894
1968,6,NA,NA,NA,NA,NA,NA,NA,0.567788642864818
1968,7,NA,NA,NA,NA,NA,NA,NA,0.591951249212448
1968,8,NA,NA,NA,NA,NA,NA,NA,0.618224170077586
1968,9,NA,NA,NA,NA,NA,NA,NA,0.645104218836842
1968,10,NA,NA,NA,NA,NA,NA,NA,0.673036735589136
1969,1,NA,NA,NA,NA,NA,NA,NA,0.17707922177993
1969,2,NA,NA,NA,NA,NA,NA,NA,0.294057302351544
1969,3,NA,NA,NA,NA,NA,NA,NA,0.357661542360811
1969,4,NA,NA,NA,NA,NA,NA,NA,0.458128094876924
1969,5,NA,NA,NA,NA,NA,NA,NA,0.498747629456894
1969,6,NA,NA,NA,NA,NA,NA,NA,0.567788642864818
1969,7,NA,NA,NA,NA,NA,NA,NA,0.591951249212448
1969,8,NA,NA,NA,NA,NA,NA,NA,0.618224170077586
1969,9,NA,NA,NA,NA,NA,NA,NA,0.645104218836842
1969,10,NA,NA,NA,NA,NA,NA,NA,0.673036735589136
1970,1,NA,NA,NA,NA,NA,NA,NA,0.17707922177993
1970,2,NA,NA,NA,NA,NA,NA,NA,0.294057302351544
1970,3,NA,NA,NA,NA,NA,NA,NA,0.357661542360811
1970,4,NA,NA,NA,NA,NA,NA,NA,0.458128094876924
1970,5,NA,NA,NA,NA,NA,NA,NA,0.498747629456894
1970,6,NA,NA,NA,NA,NA,NA,NA,0.567788642864818
1970,7,NA,NA,NA,NA,NA,NA,NA,0.591951249212448
1970,8,NA,NA,NA,NA,NA,NA,NA,0.618224170077586
1970,9,NA,NA,NA,NA,NA,NA,NA,0.645104218836842
1970,10,NA,NA,NA,NA,NA,NA,NA,0.673036735589136
1971,1,NA,NA,NA,NA,NA,NA,NA,0.17707922177993
1971,2,NA,NA,NA,NA,NA,NA,NA,0.294057302351544
1971,3,NA,NA,NA,NA,NA,NA,NA,0.357661542360811
1971,4,NA,NA,NA,NA,NA,NA,NA,0.458128094876924
1971,5,NA,NA,NA,NA,NA,NA,NA,0.498747629456894
1971,6,NA,NA,NA,NA,NA,NA,NA,0.567788642864818
1971,7,NA,NA,NA,NA,NA,NA,NA,0.591951249212448
1971,8,NA,NA,NA,NA,NA,NA,NA,0.618224170077586
1971,9,NA,NA,NA,NA,NA,NA,NA,0.645104218836842
1971,10,NA,NA,NA,NA,NA,NA,NA,0.673036735589136
1972,1,NA,NA,NA,NA,NA,NA,NA,0.17707922177993
1972,2,NA,NA,NA,NA,NA,NA,NA,0.294057302351544
1972,3,NA,NA,NA,NA,NA,NA,NA,0.357661542360811
1972,4,NA,NA,NA,NA,NA,NA,NA,0.458128094876924
1972,5,NA,NA,NA,NA,NA,NA,NA,0.498747629456894
1972,6,NA,NA,NA,NA,NA,NA,NA,0.567788642864818
1972,7,NA,NA,NA,NA,NA,NA,NA,0.591951249212448
1972,8,NA,NA,NA,NA,NA,NA,NA,0.618224170077586
1972,9,NA,NA,NA,NA,NA,NA,NA,0.645104218836842
1972,10,NA,NA,NA,NA,NA,NA,NA,0.673036735589136
1973,1,NA,NA,NA,NA,NA,NA,NA,0.17707922177993
1973,2,NA,NA,NA,NA,NA,NA,NA,0.294057302351544
1973,3,NA,NA,NA,NA,NA,NA,NA,0.357661542360811
1973,4,NA,NA,NA,NA,NA,NA,NA,0.458128094876924
1973,5,NA,NA,NA,NA,NA,NA,NA,0.498747629456894
1973,6,NA,NA,NA,NA,NA,NA,NA,0.567788642864818
1973,7,NA,NA,NA,NA,NA,NA,NA,0.591951249212448
1973,8,NA,NA,NA,NA,NA,NA,NA,0.618224170077586
1973,9,NA,NA,NA,NA,NA,NA,NA,0.645104218836842
1973,10,NA,NA,NA,NA,NA,NA,NA,0.673036735589136
1974,1,NA,NA,NA,NA,NA,NA,NA,0.17707922177993
1974,2,NA,NA,NA,NA,NA,NA,NA,0.294057302351544
1974,3,NA,NA,NA,NA,NA,NA,NA,0.357661542360811
1974,4,NA,NA,NA,NA,NA,NA,NA,0.458128094876924
1974,5,NA,NA,NA,NA,NA,NA,NA,0.498747629456894
1974,6,NA,NA,NA,NA,NA,NA,NA,0.567788642864818
1974,7,NA,NA,NA,NA,NA,NA,NA,0.591951249212448
1974,8,NA,NA,NA,NA,NA,NA,NA,0.618224170077586
1974,9,NA,NA,NA,NA,NA,NA,NA,0.645104218836842
1974,10,NA,NA,NA,NA,NA,NA,NA,0.673036735589136
1975,1,NA,NA,NA,NA,NA,NA,NA,0.17707922177993
1975,2,NA,NA,NA,NA,NA,NA,NA,0.294057302351544
1975,3,NA,NA,NA,NA,NA,NA,NA,0.357661542360811
