"year","month","4T","4S","4W","4X","3K","3L","4R","3P","total","country","source"
2022,"6",1,0,0,0,0,0,0,NA,1,"Canada","S52"
2022,"7",6,1,3,1,0,0,0,NA,11,"Canada","S52"
2022,"8",6,0,3,2,4,1,5,NA,21,"Canada","S52"
2022,"9",5,0,1,3,6,1,5,NA,21,"Canada","S52"
2022,"10",0,0,1,3,4,1,3,NA,12,"Canada","S52"
2022,"11",0,0,1,2,2,0,0,NA,5,"Canada","S52"
2023,"6",6,0,2,3,0,0,0,NA,11,"Canada","S52"
2023,"7",12,0,3,5,0,0,6,NA,26,"Canada","S52"
2023,"8",7,0,3,1,0,0,10,NA,21,"Canada","S52"
2023,"9",4,0,2,1,4,0,4,NA,15,"Canada","S52"
2023,"10",1,0,2,1,4,0,0,NA,8,"Canada","S52"
2023,"11",0,0,2,2,0,2,0,NA,6,"Canada","S52"
2023,"12",0,0,0,0,0,2,0,NA,2,"Canada","S52"
2024,"5",0,0,2,0,0,0,0,NA,2,"Canada","S52"
2024,"6",9,0,0,3,0,0,2,NA,14,"Canada","S52"
2024,"7",10,0,3,5,1,0,2,NA,21,"Canada","S52"
2024,"8",3,0,2,2,1,1,5,NA,14,"Canada","S52"
2024,"9",2,0,2,1,1,1,3,NA,10,"Canada","S52"
2024,"10",2,0,2,1,0,0,3,NA,8,"Canada","S52"
2024,"11",0,0,1,0,0,0,2,NA,3,"Canada","S52"
2025,"1",0,0,0,0,3,0,0,NA,3,"Canada","S52"
2025,"6",7,0,1,2,0,0,0,NA,10,"Canada","S52"
2025,"7",11,0,3,3,3,0,4,1,24,"Canada","S52"
2025,"8",5,0,1,1,1,0,3,1,11,"Canada","S52"
2025,"9",2,0,3,1,1,0,0,2,7,"Canada","S52"
2025,"10",1,0,3,1,0,0,0,NA,5,"Canada","S52"
2025,"11",0,0,1,0,0,0,0,NA,1,"Canada","S52"
2022,"total",18,1,9,11,16,3,13,0,71,"Canada","S52"
2023,"total",30,0,14,13,8,4,20,0,89,"Canada","S52"
2024,"total",26,0,12,12,3,2,17,0,72,"Canada","S52"
2025,"total",26,0,12,8,8,0,7,4,61,"Canada","S52"
